"Animal","Caption","Age","Gender","Ethnicity","Schooling","RecaptchaScore","Duration","Socials","Survey_01","Survey_02","Survey_03","Survey_04","Survey_05","Survey_06","Survey_07","Survey_08","Survey_09","Survey_10","Survey_11","Survey_12","One_word_comment"
"gorilla","no context",38,2,1,3,1,807,"1",2,4,2,4,1,4,4,4,1,5,4,3,"gorilla"
"gorilla","no context",25,1,5,4,0,2044,"1,2,3",5,4,4,4,4,4,4,4,4,4,4,4,"Safe Handling"
"gorilla","informative",42,1,1,4,1,289,"1,2",4,4,2,4,2,4,4,2,4,4,2,4,"sad"
"loris","informative",34,1,1,4,1,273,"1,2",2,2,4,3,4,5,3,2,4,5,2,4,"intrigued "
"gorilla","no context",39,1,4,4,1,1779,"1,2,3",4,4,4,4,4,2,4,4,4,4,4,5,"very real photo"
"gorilla","informative",43,2,1,4,1,522,"2",4,4,5,4,4,4,5,3,4,4,4,5,"AMAZING"
"gorilla","informative",45,2,1,4,1,201,"1,2",5,4,5,5,5,5,5,5,5,5,4,4,"love"
"loris","no context",44,2,1,5,1,340,"1,2,3,5",2,3,4,5,1,3,2,4,1,5,3,2,"Empathy"
"gorilla","no context",32,2,1,4,1,630,"1,2,3,4,5",5,5,5,5,5,5,5,5,5,5,5,5,"nice"
"gorilla","no context",30,1,1,4,1,460,"1,2,3,5",5,4,2,5,5,2,4,5,4,4,4,2,"nothing"
"loris","no context",44,1,1,4,1,1092,"1,2,5",4,4,4,5,4,4,4,4,5,5,5,5,"ANIMAL"
"loris","no context",25,2,1,4,1,1189,"1,2,3,4,5",4,4,4,4,3,4,4,4,3,4,4,4,"This post is beautiful"
